Date	Headline	Summary
2015-04-15	Microsoft	" Once an Antitrust Target, Is Now Google’s Regulatory Scold"",""The European Union is accusing Google of abusing its dominance, and Microsoft has links with the three initial complainants that sparked the antitrust investigation."
2015-04-15	Case Against Google May Be Undercut by Rapid Changes in Technology	As the antitrust case against Microsoft showed, the giants that look most unbeatable can falter in ways that have nothing to do with the actions of government regulators.
2015-04-15	Google Joins Its U.S. Peers Under Europe’s Scrutiny	American technology companies are no strangers to antitrust challenges by European regulators, but the cost has tended to be measured in money and time, not business practices.
2015-04-15	The Danish Politician Who Accused Google of Antitrust Violations	Margrethe Vestager, the European Union competition commissioner, has brought an assertive approach to the competition ministry since taking over last year.
2015-04-15	Google Accused of Cheating Competitors	Margrethe Vestager, the European Union’s competition commissioner, accused Google of distorting Internet search results and began an antitrust investigation into its Android mobile operating system.
2015-04-15	Europe Challenges Google	" Seeing Violations of Its Antitrust Law"",""The charge focuses on accusations that the company diverts traffic from its rivals to favor its own products and services, particularly websites for shopping."
2015-04-15	Bits Daily Report: E.U. Antitrust Chief Formally Accuses Google of Abuse	The charge focuses on accusations that the company diverts traffic from its rivals to favor its own products and services, particularly websites for shopping.
2015-04-14	Google Expected to Face Antitrust Charges in Europe	Europe’s antitrust chief is expected to accuse the search giant of using its dominant position to favor its own services, a case that could force a change in its practices.
2015-04-14	Fighting Homelessness	" One Smartphone at a Time"",""Some companies in the Bay Area turn to technology to aid people who sleep on the streets, for whom a phone can be a lifeline."
2015-04-13	How Europe Is Going After Apple	" Google and Other U.S. Tech Giants"",""The biggest American tech companies face intensifying scrutiny by European regulators, with — pressure that could potentially curb their sizable profits in the region and affect how they operate around the world."
2015-04-13	O’Malley Uses New YouTube Feature as Fund-Raising Plea	Introduce a new advertising technology, and a political campaign will find a way to raise money with it.
2015-04-13	Daily Report: Amazon	" Google and More Are Drawn to Home Services Market"",""Bringing the efficiency of the web to common household tasks has opened a new door to the home services industry, which is estimated to be worth more than $800 billion."
2015-04-12	Amazon	" Google and More Are Drawn to Home Services Market"",""Bringing the efficiency of the web to common household tasks has opened a new door to the home services industry, which is estimated to be worth more than $800 billion."
2015-04-12	Formal Charges May Be Next in Europe’s Google Antitrust Inquiry	Margrethe Vestager, Europe’s antitrust regulator, is expected to change course with her predecessor and file charges that could hasten a settlement.
2015-04-10	Kode With Karlie	" Iris Apfel’s Eulogy for Loehmann’s and Making Up Hillary Clinton"",""Plus, J.Lo “invented” Google Image search, Cara and Poppy’s mom to tell all and more from the week in style."
2015-04-09	Amazon to Sell Predictions in Cloud Race Against Google and Microsoft	Amazon Web Services, the world’s biggest cloud company, is now selling cheap data analysis and prediction. It’s likely to get baked into all kinds of applications, bringing pain to the old guard.
2015-04-08	Turkey’s Online Censorship	The country has been pressuring Google, Facebook, and Twitter to remove content critical of its government.
2015-04-08	Silicon Valley Not So Friendly to Families: Reporter’s Notebook	Claire Cain Miller writes about her reporting on Silicon Valley and the fact that an industry renowned for generous perks is not particularly family friendly.
2015-04-07	Silicon Valley: Perks for Some Workers	" Struggles for Parents"",The technology industry highlights the difficulties that the American economy has had adapting to modern family life."
2015-04-07	California’s Arid Landscape	" Shot From Above"",Damon Winter shares how he made the aerial photos of the Coachella Valley."
2015-04-07	Morning Agenda: FedEx to Buy TNT Express in $4.8 Billion Deal	FedEx to Buy TNT Express in $4.8 Billion Deal | High-Frequency Trader Restarts I.P.O. | Options After Insider Trading Ruling | Law Firms Take Aim at Appraisal Arbitrage
2015-04-07	Google Dodges a Ban in Turkey Over Hostage Photo	Twitter and YouTube were temporarily blocked after they failed to respond to an order to remove content showing a hostage taker pointing a gun at Mehmet Selim Kiraz.
2015-04-07	Consumer Groups to Ask F.T.C. to Investigate YouTube Kids App	Close to a dozen consumer groups are asking the commission to investigate an application recently released by Google, arguing that its ads deceive children.
2015-04-06	‘Star Wars’ Movies Will Be Available at Digital Stores Like Amazon and iTunes	Disney and 20th Century Fox said that the six movies – “Star Wars,” “Return of the Jedi,” “The Empire Strikes Back,” “The Phantom Menace,” “Attack of the Clones” and “Revenge of the Sith” — would arrive online worldwide on April 10.
2015-04-06	ZenPayroll Start-Up Raises $60 Million From Group Led by Google Investment Arm	The funding round valued the payroll processor, which was created in 2012, at $500 million.
2015-04-03	Spread the Word: Men’s Style Is Here	Simone Oliver, a growth strategy editor for The Times’s lifestyle news, shares how she targeted Men’s Style articles to readers.
2015-04-03	Daily Report: Regulators in Europe Take Aim at American Tech Giants	New developments offer the latest and perhaps clearest sign yet that American tech giants face intensifying scrutiny in Europe that could curb their profits in the region and affect how they operate around the world.
2015-04-02	Antitrust and Other Inquiries in Europe Target U.S. Tech Giants	New developments offer the latest sign that American tech giants face intensifying scrutiny in Europe that could curb their profits in the region and affect how they operate around the world.
2015-04-02	European Commission Asks Companies to Go Public With Google Complaints	The move is part of an antitrust inquiry into whether the search giant has used its dominant position to give preferential treatment to its own services.
2015-04-01	Has American Business Lost Its Mojo?	Political polarization is making economic stagnation worse.
2015-03-31	Daily Report: Jay Z Enters Streaming Music With Artist-Owned Service	In an industry where artists seldom have direct control over how their work is consumed, musicians will be the majority owners of the company, Tidal.
2015-03-30	China Appears to Attack GitHub by Diverting Web Traffic	The attack on GitHub, a code library that includes methods for viewing Internet sites blocked in China, comes as the country has increased its censorship.
2015-03-30	Q. and A.: Adam Fisk on Evading Internet Censorship in China	The lead developer of Lantern, a censorship-evading tool, discusses how it works and how it has reacted to the new measures by Chinese Internet regulators.
2015-03-30	The Path Toward Tomorrow’s Internet	The role of government in nurturing new technology and the rising importance of the Internet of Things were themes of a conference on the next-generation Internet.
2015-03-27	Google and Johnson & Johnson Team for Robotic Surgery Projects	Google and Johnson & Johnson announced a partnership to develop new robot-assisted surgery technologies but offered few details.
2015-03-26	New Google C.F.O. Gets $70 Million Pay Package (and $7	"500 to Move)"",Google’s new financial chief will join the search giant in May after a long career at Morgan Stanley."
2015-03-25	F.T.C. Addresses Its Choice Not to Sue Google	The agency issued a rare statement defending its choice not to take legal action after investigating Google for anticompetitive behavior in 2011 and 2012.
2015-03-24	Wall St. Stars Join Silicon Valley Gold Rush	Ruth Porat, Morgan Stanley’s chief financial officer, is leaving for Google in the most visible example yet of the flow of talent from Wall Street to Silicon Valley.
2015-03-24	Google Should Feel Lucky in Its Finance Chief Hire	The challenge for both Wall Street and Silicon Valley is to create more women like Ruth Porat, with financial, tech and government know-how.
2015-03-24	Google Hires Finance Chief Ruth Porat From Morgan Stanley	Ms. Porat, who has been Morgan Stanley’s chief financial officer since 2010, will become one of the most powerful women in Silicon Valley.
2015-03-23	Google Fiber Plans Experiment With Targeted Ads for Television	While Google Fiber is growing fast, it is still minuscule compared with its traditional rivals. But it shows the potential for delivering specific kinds of ads to local markets.
2015-03-20	TAG Heuer Smartwatch Is the Talk of Baselworld	The Swiss watchmaker teams up with Google and Intel to create a smartwatch.
2015-03-20	European Lawmaker Pushes Europe to Take Stronger Stance on Google	The antitrust case against Google in Europe has already gained more traction than in the United States. But like their American counterparts, competition officials at the European Commission in Brussels have been loath to bring formal charges against such a successful and powerful company.
2015-03-20	Hackers Attack GreatFire.org	" a Workaround for Websites Censored in China"",""Unidentified hackers have attacked GreatFire.org, a website that provides access to news websites blocked by China."
2015-03-20	Turning Off the Android Texting Nanny	Some people would rather do without the word suggestions the software makes as they type a message.
2015-03-19	Take Google to Court	" Staff Report Urged F.T.C."",An internal Federal Trade Commission report recommended that the agency take action against Google for anticompetitive practices. The F.T.C. voted not to bring charges."
2015-03-19	Google and Intel to Team Up with TAG Heuer on a Luxury Smartwatch	A new generation of luxury smartwatches, essentially tiny computers meant to be fashion statements, is beginning to take shape.
2015-03-17	A Sucker Is Optimized Every Minute	Now that we have hard data on everything, we no longer make decisions from our hearts, guts or principles.
2015-03-19	Reseña: La portátil Chromebook Pixel de Google	Ha llegado la portátil Chromebook Pixel de segunda generación. Es igual de confusa que la primera pero, extrañamente, igualmente atractiva.
2015-03-11	InMobi Plans to Stay Independent	" Dismissing Rumors of Talks With Google"",The chief executive of the Indian mobile advertising start-up denied reports that the company was discussing a possible acquisition by Google."
2015-03-11	36 Hours in Los Cabos	" Mexico"",""Explore street view, find things to do in Los Cabos, Mexico, and sign in to your Google account to save your map."
2015-03-11	Review: Google Chromebook Pixel	The top-of-the-line Google laptop, back in a new version, is meant more as a testing ground for new technology than a mass-market product.
2015-03-11	Bento Wants to Be Your App Matchmaker	Bento is one of a number of start-ups that are trying to re-imagine search for mobile phones by anticipating what you want to do with your device.
2015-03-11	Device Syncing: Call From Computers and Text From Tablets	Technology from Apple, Google, BlackBerry and Motorola is increasingly allowing users to send texts and make phone calls from almost any device.
2015-03-11	Google Offers Cheap Storage for Certain Kinds of Data	Google just matched Amazon for cheap online storage, with an important difference: While Amazon promises to fetch the cheap data in hours, Google offers to do it in three seconds.
2015-03-10	Google C.F.O. Is Retiring to Spend More Time With Family (No	" Really)"","
2015-03-10	Inside the Kleiner Perkins Trial: Reporter’s Notebook	The reporter David Streitfeld describes the scene inside the Kleiner Perkins trial.
2015-03-09	Fighting Back Against Malware	A flurry of pop-up ads, an unfamiliar search toolbar and a changed home page are just some of the symptoms of malicious software.
2015-03-06	Troubleshooting Android in Safe Mode	Third-party apps and recent operating system updates are often the cause; starting the phone in Safe Mode can help narrow down the search for a culprit.
2015-03-05	Nasdaq Changed in Its Climb to 5	"000"",""Unlike the Nasdaq composite index at its dot-com peak in 2000, today’s index has companies that are more mature and less concentrated in technology."
2015-03-05	ISIS Is Adept on Twitter	" Study Finds"",""While Twitter has suspended many users linked to the Islamic State, a study says at least 46,000 accounts publicize the group’s message of death."
2015-03-05	Google Introduces Long-Anticipated Insurance Shopping Site	
2015-03-04	Higher Settlement Is Closer in Silicon Valley Hiring Case	Judge Lucy H. Koh of Federal District Court in San Jose, Calif., rejected an earlier offer of $324.5 million for the workers affected by the case.
2015-03-04	Outdated Encryption Keys Leave Phones Vulnerable to Hackers	Apple and Google said they were releasing patches to fix the problem, which results in part from 1990s American technology export restrictions.
2015-03-04	Researchers Report Milestone in Developing Quantum Computer	A team of University of California, Santa Barbara, and Google scientists reported that they had created an error-correction system that stabilizes qubits, the unstable basic element of quantum computing.
2015-03-04	Flipkart of India	" to Bolster Its Tech Credentials, Hires Former Google Executive"","
2015-03-03	At Geneva Auto Show	" Worry About Silicon Valley"",""Apple and Google are using their technology domination to take over car dashboards. Someday, they could try to build entire vehicles."
2015-03-02	Google Confirms Plans for Wireless Service	The company is experimenting with a network that would rely primarily on Wi-Fi technology and use cellular towers as a backup.
2015-03-02	Daily Report: The Apple Watch Is Nearly Ready	" but Is the Public?"",""The Apple Watch is scheduled to start selling in April, but will buyers want it? While consumers have shown little interest in smartwatches so far, few people wanted tablets or smartphones before the iPad and iPhone were released."
2015-03-01	An Uneasy Relationship Between Telecom and Tech	Large mobile carriers and tech giants like Facebook and Google rely on one another, but they are competing to be consumers’ main source for Internet use on mobile devices.
2015-02-27	Google Unveils Plan for New Corporate Campus	Google unveiled a radical proposal for a new campus that would replace its current headquarters in Mountain View.
2015-02-26	Google Puts European Operations Under a Single Executive	Google, which is facing various regulatory issues in Europe, has consolidated the region’s operations under a single executive.
2015-02-25	A Google Computer Can Teach Itself Games	A team at Google has developed a way a computer can sense inputs, learn rules and successfully play a number of classic video games. That’s a step up from the Jeopardy!-winning Watson, which was taught rules.
2015-02-25	Christie Is Said to Hire Google Executive for PAC	Gov. Chris Christie of New Jersey hired a Google executive as his PAC’s communications director in preparation for a possible presidential campaign, according to people told of the hiring.
2015-02-25	Google Plans New Headquarters	" and a City Fears Being Overrun"",""Google’s sometimes testy relationship with community leaders in Mountain View, Calif., a city already bursting at the seams, is likely to get testier."
2015-02-24	Filing Away Gmail Messages	Tips on how to archive Gmail messages to tidy up your inbox, and solutions for when your laptop battery begins to fade.
2015-02-23	Google Guns for Apple in Mobile Payments Race	The use of so-called proximity payment services is expected to accelerate in the coming year and Google isn’t ready to cede the market to companies like Apple and Samsung.
2015-02-23	Daily Report: Automakers Close to Widely Adopting Dashboard Tech From Google and Apple	In the coming months, auto dealerships around the country will begin selling vehicles capable of running Android- and Apple-compatible dashboard systems.
2015-02-22	Google and Apple Fight for the Car Dashboard	In the coming months, dealerships around the country will begin selling vehicles capable of running Android- and Apple-compatible dashboard systems.
2015-02-19	‘American Sniper	"’ the People’s Choice for Best Picture"",""When asked about the best movie they had seen in the last year, people in a Google survey cited “American Sniper” far more than any other film."
2015-02-17	Securing a Hotmail Account	How to use two-step verification to guard against unauthorized access to your email.
2015-02-16	Astro Teller	" Google’s ‘Captain of Moonshots,’ on Making Profits at Google X"",""Astro Teller, the head of the Google X research group, talks about the company’s efforts to commercialize projects like the self-driving car and why the Glass wearable device will still impact technology."
2015-02-15	F.A.A. Rules Would Limit Commercial Drone Use	Proposed regulations requiring daylight flights with craft always being kept in sight might ground planned delivery services like Amazon’s Prime Air.
2015-02-15	Cellphone Start-Ups Use Wi-Fi First to Handle Calls and Take On Rivals	Two start-ups are trying to lower cellphone costs by relying on Wi-Fi routers, and now some of the bigger companies are looking to follow their lead.
2015-02-15	Hoping Google’s Lab Is a Rainmaker	After patiently abiding a steep increase in research and development spending, Wall Street is starting to wonder when — and if — Google’s science projects will pay off.
2015-02-13	Daily Report: Obama Heads to Security Talks Amid Tensions	A long history of quiet cooperation between Washington and America’s top technology companies has been shattered by tension over the government’s use of technology companies for its intelligence purposes.
2015-02-12	Daily Report: Google Is a Mighty Force Now	" but That May Not Last Forever"",""The tech giant is trying to evolve beyond a search behemoth, but it faces the same problems as the once-mighty tech companies that came before it."
2015-02-11	Jet.com Gets Investment That Values It at $600 Million	A soon-to-start online marketplace that aims to loosen Amazon’s grip on e-commerce raises $140 million.
2015-02-11	Google	" Mighty Now, but Not Forever"",""The tech giant is trying to evolve beyond a search behemoth, but it faces the same problems as the once-mighty tech companies that came before it."
2015-02-11	Importing Images to iPhoto	Tips on how to transfer photographs into iPhoto on your Mac, and advice for connecting to a virtual private network from a mobile device.
2015-02-09	Daily Report: Rivalry Brewing Between Uber and Google	Google is a major investor in Uber, but as often happens in Silicon Valley, each company is working on products that could wind up directly competing.
2015-02-08	A Prickly Partnership for Uber and Google	Google is a major investor in Uber, but as often happens in Silicon Valley, each company is working on products that could directly compete with the other’s.
2015-02-06	Limit 'Right to Be Forgotten' to Europe	" Panel Tells Google"",An eight-person committee advising Google on complying with a landmark privacy ruling by Europe’s highest court said it should apply only in the 28-nation European Union."
2015-02-05	Twitter and Google Said to Reach Deal on Search	The microblogging service is expected to announce a partnership that will make tweets easier to find in Google search results.
2015-02-17	Cristal roto: La historia del fracaso de Google Glass	Hace unas semanas Google anunció que las gafas Glass, como las conocemos, desaparecerían.
2015-02-04	Why Google Glass Broke	How Google Glass went from the hottest thing in wearable tech to the Edsel of Silicon Valley.
2015-02-04	Traveling With an iPhone	Using your phone as a GPS unit is handy, but can run the battery down. Always pack a mobile phone charger.
2015-02-04	Europe’s Expanding ‘Right to Be Forgotten’	The push to censor information on the Internet to citizens beyond the European Union is a troubling idea.
2015-02-02	Uber to Open Center for Research on Self-Driving Cars	The ride-hailing service is partnering with Carnegie Mellon University, a hotbed for research in robotics and other artificial intelligence.
2015-02-02	Sex	" Fear and Loving: A Conversation"",""Readers respond to a Sunday Review article, “Searching for Sex.”"
2015-02-01	A Question Over the Reach of Europe's 'Right to Be Forgotten'	A man’s victory in a Paris court could set a precedent that Europe’s “right to be forgotten” ruling should apply far more broadly than originally understood.
2015-01-30	You Googled It	" We Answered It"",""A team of analysts at Google divulged travelers’ most pressing questions, such as how to pack and is it safe to fly."
2015-01-29	Google Revenue Is Higher	" but Profit Misses Expectations"",""The company’s results were squeezed by a number of temporary factors, including a strong dollar that ate into overseas sales."
2015-02-09	La realidad virtual al borde de despegar	Compañías como Samsung, estudios cinematográficos y empresas de Silicon Valley están compitiendo para crear nuevos tipos de experiencia de vídeo para realidad virtual.
2015-01-28	Video Feature: Signs That Virtual Reality Is on the Verge of Taking Off	Major technology and media companies are investing heavily in virtual reality, a signal that the experience may soon be ready for mass consumption.
2015-01-28	Amazon's Got Mail	Amazon’s latest foray: back-end email systems.
2015-01-28	Avoiding Botnets With a Mac	Windows PCs are often the main targets of malicious software that loops infected computers into remote-controlled networks called botnets, but Macs are not immune.
2015-01-28	From Buzz to Bombs: A Dispatch From the Sundance Film Festival	Brooks Barnes tells of how he learned to cover the Sundance Film Festival, and what mistakes he will never make again.
2015-01-28	What Happens if Apple Drops Google From Its Browser?	Yahoo’s chief executive wants to get the company’s search bar into Apple’s Safari browser, as it did with the Firefox browser. What that would mean to Google, Safari’s current search bar, isn’t so clear.
2015-01-26	WikiLeaks Assails Google and the U.S.	Lawyers acting for WikiLeaks said Monday that they were exploring possible legal action against the American government and Google over the seizure of emails.
2015-01-26	Millions Paid by X Prize Foundation for Progress Toward Trip to Moon	The X Prize Foundation paid more than $5 million to several groups for advances in landing, moving on the lunar surface and imaging.
2015-01-24	Searching for Sex	What big data reveals and conceals about our desires, our bodies and our many insecurities.
2015-01-23	Is Your Data Safe at Healthcare.gov?	The revelation that the health insurance website shares user data with for-profit companies has some concerned about what will happen to consumers’ private health information.
2015-01-22	Daily Report: Internet in Orbit	" Linking Much of World Directly to Google"",The company believes it can use its growing collection of devices in the sky to spread the Internet to underserved areas around the world — and sell more ads."
2015-01-21	Google Hopes to Take the Web Directly to Billions Lacking Access	The company believes it can use its growing collection of devices in the sky to spread the Internet to underserved areas around the world.
2015-01-21	SpaceX Is a Throwback to the 1990s	Google is investing in Elon Musk’s company, which is planning a broadband network of 4,000 satellites. The pioneering Teledesic tried something similar two decades ago but failed, notes Robert Cyran of Reuters Breakingviews.
2015-01-21	Video Feature: For Musicians	" Apps for Tuning, Keeping Time and Organizing Charts"",""Getting to the music faster is easy with apps for the mundane tasks, like getting in tune and planning your set list."
2015-01-21	Video Feature: Conjuring the Most From Google Android	All of these tips work on the latest version of Android, known as Lollipop, but many of them work on the previous version, too.
2015-01-21	Daily Report: Google Makes a Big Bet on SpaceX	Google has teamed up with Fidelity to invest in SpaceX, the rocketry company founded by Elon Musk, in part to further Google’s goal of extending the Internet’s reach through satellites.
2015-01-20	Google and Fidelity Put $1 Billion Into SpaceX	Google and Fidelity have invested in the rocketry company founded by Elon Musk, in part to further Google’s goal of extending the Internet’s reach through satellites.
2015-01-20	E.U. Official Urges Google to Offer Greater Concessions in Antitrust Inquiry	Günther Oettinger, the European Union’s digital economy commissioner, said that while he respected what Google’s founders had achieved, the company must honor European rules.
2015-01-18	Insurance via Internet Is Squeezing Agents	Technology start-ups with websites that sell many types of insurance and promise savings with comparison shopping are putting pressure on insurance agents, who collect commissions.
2015-01-18	A Retreat for Google Glass and a Case Study in the Perils of Making Hardware	Consumers were never quite sure what to make of Google’s Internet-connected glasses.
2015-01-16	Google Said to Be in Talks to Acquire Softcard	" a Mobile Payments Company"",An unsuccessful e-commerce start-up may sell to one of the largest Internet companies in the world."
2015-01-16	Google Glass Is Finally Getting a Makeover	As the company reimagines the device, here’s hoping it draws in some fashion experts for advice on what people want to wear.
2015-01-15	Google Glass to Leave 'X' Research Lab as Nest's Tony Fadell Takes Over Project	The wearable device will soon be a lot harder to buy as the Glass Explorer program will shut as part of the shift.
2015-01-14	In Detroit	" Google Makes a Case for Driverless Cars"",""Google hopes to have fully autonomous vehicles on the road by 2020, taking the driver out of the equation and handing the virtual wheel to software."
2015-01-14	Tracking Data Use to Avoid Hefty Phone Fees	A number of apps can help monitor and manage data consumption on phones, to keep you within your plan’s limits and avert unpleasant surprises on your bill.
2015-01-14	Two Ex-Googlers Reunite at Venture Capital Firm	Felicis Ventures, a small company (for Silicon Valley) has had some notable investments: Twitch, the video game streaming service that was sold to Amazon, and Rovio, the maker of the Angry Birds video game.
2015-01-14	Updates for Google Translate (Just Hold Up Your Phone)	
2015-01-14	Daily Report: Tech Giants Said to Offer Bigger Settlement in Antitrust Case on Hiring	Apple, Google, Intel and Adobe say a new deal has been struck to settle a lawsuit that asserts the companies had agreed not to directly solicit one another’s employees.
2015-01-14	Bigger Settlement Said to Be Reached in Silicon Valley Antitrust Case	Apple, Google, Intel and Adobe are said to be offering $415 million to settle accusations that they conspired against their own employees.
2015-01-14	Google Translate App Gets an Upgrade	The company’s translation service is becoming a lot smarter — and a lot easier to use.
2015-01-11	Language Translation Tech Starts to Deliver on Its Promise	It may sound like the stuff of science fiction, but translation tools are improving enough to imagine a day when a Spanish speaker and an English speaker can easily chat.
2015-01-09	Looking for the ‘Most Recent’ Facebook Posts	Facebook eventually reverts to the “Top Stories” view of its news feed even if “Most Recent” is chosen, but there are ways around this.
2015-01-08	Apple's Cut From App Sales Reached $4.5 Billion in 2014	Google’s app store is the largest in the world, but still makes far less money than the Apple App Store.
2015-01-08	New Clues on Google's Plans for Insurance	A Forrester analyst has speculated that Google is on the cusp of launching a U.S. insurance-shopping site.
2015-01-08	Mapping the World's Problems	Google Earth Engine works with scientists by using satellite imagery to provide data visualizations for environmental and health issues.
2015-01-06	Daily Report: Getting the Apps to Talk to Each Other	As people spend more time using apps, their Internet has taken a step backward, becoming more isolated — more like the web before search engines.
2015-01-05	Apps Everywhere	" but No Unifying Link"",""As people spend more time using apps, their Internet has taken a step backward, becoming more isolated — more like the web before search engines."
2015-01-02	Daily Report: Web Freedom Is Seen as a Growing Global Issue	The new year promises further attempts at online censorship, as the web increasingly serves as a platform for civil rights efforts.
2015-01-01	Web Freedom Is Seen as a Growing Global Issue	The new year promises further attempts at online censorship, as the web increasingly serves as a platform for civil rights efforts.
2014-12-31	In Foiling Gmail	" China Foils Itself"",""China faces a dilemma in dealing with Western information giants like Google, Twitter and Facebook."
2014-12-31	Standouts in Tech: Drones	" Virtual Reality, Instant Translation and A.I."",Farhad Manjoo picks four products from 2014 that are bringing the future closer."
2014-12-31	36 Hours in Vienna	Explore street view, find our points of interest and sign in to your Google account to save your map.
2014-12-31	Sony’s ‘The Interview’ Is Set for On-Demand and Wider Online Viewing	Sony’s new partners will expand digital availability of the film, which will also have a wider theatrical release starting Friday.
2014-12-29	Daily Report: Pinterest Opening Its Boards to Ads on Wide Scale for First Time	On New Year’s Day, the digital scrapbook Pinterest will start selling advertising, competing with Google, Twitter and Facebook for marketing revenue from the biggest consumer brands.
2014-12-29	China Adds New Barrier to Gmail	The government appears to have blocked the ability of people in China to access their Gmail accounts through third-party email clients.
2014-12-28	A Google Gentrification Fight That Doesn't Involve San Francisco	The Bay Area isn’t the only locale that has a love-hate relationship with Google. A proposed Google campus in Boulder, Colo., has stoked concern about rising home prices and the company’s insular campuses.
2014-12-26	Adding the Sun	" Moon and Stars to Google Calendar"",Include some interesting events — off-planet and closer — to your daily reminders."
2014-12-24	Retina 5K iMac: Powerful Proof of the PC Renaissance	Defying predictions of their demise, personal computers are making a comeback, enticing a niche audience of professional users with power and beauty, and an Apple machine stands out.
2014-12-24	Sony Streams ‘The Interview’ on YouTube	" Google Play and Xbox"",""In getting behind “The Interview,” Google and Microsoft joined what had become more a campaign to defend free speech against foreign intimidation than a business initiative."
2014-12-24	Google Adds Some Song Lyrics to Search Results	Google is now displaying the words to some songs directly on search-results pages, challenging the supremacy of semiofficial lyric sites.
2014-12-24	Daily Report: Google Knows What You're Getting for Christmas	Google, already the repository of our collective fears and hopes, can also predict what Americans are planning to put under the tree this year.
2014-12-24	Wearable Devices for Women: Still Pretty and Still Dumb	Wearables have a style problem, especially when it comes to women. But as tech companies and designers come together to make wearables for women, do they risk making gadgets that look good but do less?
2014-12-23	America’s Christmas Gift Lists	" as Seen by Google"",""Google, already the repository of our collective fears and hopes, also knows what we are shopping for. Of course it does."
2014-12-22	For Stanford Class of ’94	" a Gender Gap More Powerful Than the Internet"",How an industry devoted to overturning barriers let a gender gap stand unchallenged."
2014-12-20	What We’re Searching For	After Christmas, divorce. On Feb. 14, loneliness.
2014-12-19	Statement of Attorney General Jim Hood Regarding Google Lawsuit	Mr. Hood, the attorney general of Mississippi, released this statement in response to a suit filed by Google that accuses him of violating federal law in his efforts to get the search giant to remove links to some content.
2014-12-19	Sued by Google	" a State Attorney General Retreats"",""The search giant accused the Mississippi official, Jim Hood, of violating federal law in his efforts to get it to remove links to some content."
2014-12-19	Why the 'Best Places to Work' Often Aren't	Few companies recognize that it’s not the number of hours their people work that determines the value they create, but rather the energy they bring to the hours they work, writes Tony Schwartz in the Life@Work column.
2014-12-19	The Berlin Wall	" by App"",The digital application Timetraveler integrates historic content about the Berlin Wall into live camara view of a mobile device."
2014-12-19	Goodfortheworld.com	Europeans and Americans disagree on how to balance freedom of speech versus privacy. But don’t dismiss the right to be forgotten as European angst.
2014-12-17	Former Attorney General Lynch Calling for Google Investigation	Patrick Lynch, a former Attorney General from Rhode Island, has worked closely with a group called FairSearch, sending dozens of letters and emails to attorneys general around the United States, since at least 2011, repeating urging them to investigate Google.
2014-12-17	Google Subpoena From Mississippi	The state’s attorney general asked the technology company to answer dozens of questions and provide even more documents about its operations, including its practices around illegal and sexual content, as well as advertising partnerships.
2014-12-17	Daily Report: Google's Detractors Lobby State Attorneys General	Google’s critics are turning to state attorneys general to push the company to censor illegal content and sites from search results.
2014-12-17	Letter to Google From Mississippi’s Attorney General	This document shows revisions to a letter sent to Google by the attorney general of Mississippi, that had been largely drafted by a law firm representing the Motion Picture Association of America.
2014-12-17	Google’s Detractors Take Their Fight to the States	Critics of Google are turning to state attorneys general to push the company to censor illegal content and sites from search results.
2014-12-17	Exchanges Between Current and Former Missippippi Attorneys General	An email exchange between the current and former attorneys general of Mississippi shows a push to try to investigate Google.
2014-12-15	Chinese Internet Companies Gain Ground in Global Advertising Competition	China, the No. 2 market for digital advertising, has become so important to marketers that Alibaba and Baidu, two Chinese companies that operate almost entirely within their home country, have become two of the largest ad sellers in the world.
2014-12-15	How to Hide Past iTunes Purchases	There is a way to “hide” items from your list so they aren’t visible on a shared computer. Also, how to enlarge the New Message window in Gmail.
2014-12-13	Why 2014 Is a Big Deal	This could have been the year that tipped the scales toward action on climate change. Then the price of oil started falling.
2014-12-13	Where Tech Giants Protect Privacy	Regulations on personal data are tougher abroad.
2014-12-11	Google News to Shut in Spain	Google plans to shut the site in the country in protest of a new law that would force the company and other news aggregators to pay Spanish publishers for the use of their content.
2014-12-11	European Antitrust Regulators Ask for More Information in Google Investigation	Margrethe Vestager, the European Union’s competition commissioner, said there was a need to update information in the case.
2014-12-11	Google News to Shut Down in Spain	The decision is in response to a Spanish law that comes into force in January that would allow newspapers and other publishers to charge Google for content it uses.
2014-12-10	Britain Criticized for Plan to Target Corporate Tax Avoiders	The Organization for Economic Cooperation and Development, which is seeking an international deal on such issues, said it would have been better to await the outcome of its talks.
2014-12-08	Will We Finally Be Able to Search Facebook Posts?	The social network says it will give English-language users in the United States the ability to search the content of Facebook posts to unearth specific bits of information that are currently difficult to find among the more than one trillion posts on the service.
2014-12-08	European Privacy Debate on Display in Paris	European privacy regulators gathered to discuss the growing public outcry over how governments and tech giants gather and use people’s data.
2014-12-04	Sneaking a Peek at a Protected Gramercy Park View	Matt Chaban, the Appraisal columnist, explained how he stumbled upon a story while “strolling” through New York on Google Street View.
2014-12-04	OnDeck	" an Alternative Lending Platform, Sets I.P.O. Range"",""OnDeck Capital, an online site for lending to small businesses, said it planned to price its stock sale at $16 to $18 a share, a move that would value the company at about $1.1 billion."
2014-12-03	French Official Campaigns to Make 'Right to be Forgotten' Global	Isabelle Falque-Pierrotin, who heads the French data protection authority and heads a European body composed of the region’s 28 national privacy regulators, said Google must do more than remove links from its European domains.
2014-12-03	British Government Proposes a 'Google Tax'	George Osborne, the British chancellor of the Exchequer, proposed a new 25 percent tax on the local profits of some international companies, including tech giants like Google.
