Date	Headline	Summary
2018-10-09	DealBook Briefing: Google’s Turn for a Data Scandal	The tech company decided not to go public about a vulnerability that exposed user data. That may have been a bad idea.
2018-10-08	Google Plus Will Be Shut Down After User Information Was Exposed	Google did not notify authorities of the vulnerabilities in Google Plus, which exposed the data of up to 500,000 users.
2018-10-07	Tech Workers Now Want to Know: What Are We Building This For?	Tech employees concerned their products are being deployed for government surveillance or censorship are increasingly asking their employers how the technology is being used.
2018-10-07	Nobel in Economics to Be Awarded	" and Big Banks Begin Reporting Earnings"",""Google plans to unveil an array of new products, and trade and U.S.-China tensions are expected to be discussed at the I.M.F.-World Bank meetings. "
2018-10-03	Senators Call for Federal Investigation of Children’s Apps	Two Democrats want the Federal Trade Commission to examine whether thousands of apps are violating a children’s online privacy law.
2018-10-02	Silicon Valley’s Keystone Problem: ‘A Monoculture of Thought’	In a satirical new novel, a former Google executive identifies the technology industry’s chief issue: its narrow engineering-focused bubble.
2018-09-28	Google Chief Agrees to Testify to Congress	Sundar Pichai, the chief executive, met with Republican and Democratic lawmakers to try to tamp down criticism facing the company.
2018-09-28	In ‘Pretty Poison’ and ‘Gun Crazy	"’ Femmes Fatales With Deadly Firepower"",""Tuesday Weld in “Pretty Poison” and Peggy Cummins in “Gun Crazy” are fresh-faced, trigger-happy young women in two films that attained cult status."
2018-09-27	It’s Google’s Turn in Washington’s Glare	The internet giant has largely avoided the scrutiny faced by its internet peers. Now lawmakers are questioning whether it has too much influence.
2018-09-26	Google Tweaks Chrome in Response to Privacy Criticism	Google said users will be able to opt-out of getting automatically signed into Chrome.
2018-09-26	Ex-Google Employee Urges Lawmakers to Take On Company	A former research scientist at the tech giant said a project to build a censored search engine was a “catastrophic failure of the internal privacy review process.”
2018-09-26	How Apple Thrived in a Season of Tech Scandals	Everyone is worried about the power of big technology companies. Apple alone has managed to turn the fears into an argument for its own business model.
2018-09-25	Law Enforcement Officials Confront Tech Companies’ Power	Justice Department officials met with attorneys general from 14 states to discuss whether they have the right tools to fight concerns about privacy and the tech business model.
2018-09-25	DealBook Briefing: Instagram’s Co-Founders Are Leaving	Kevin Systrom and Mike Krieger, who carefully shaped the company even after Facebook acquired it, have resigned — and tension with Mark Zuckerberg may be to blame.
2018-09-22	These Robots Run	" Dance and Flip. But Are They a Business?"",""Boston Dynamics often makes a splash with videos of its anthropomorphic robots. But after years of work, it is not clear who would buy them or what they would be used for."
2018-09-22	Google C.E.O. Denies Allegations of Political Bias in Search Results	Sundar Pichai said in an email to staff on Friday that the company does not alter search results for political gain.
2018-09-20	New Pressure on Google and YouTube Over Children’s Data	Two members of Congress asked for details of practices concerning the personal data of viewers younger than 13.
2018-09-19	The Most Fun (and Useful) Things You Can Do With an Amazon Echo or Google Home	Smart home devices will tell you the weather and answer trivia questions, sure, but they can do so much more. Try these tips to streamline your day, relax a little or just have some fun.
2018-09-14	The Week in Tech: Apple’s Watch Steals the Show	Apple held its annual iPhone event, but its watch wowed the industry. Plus, Google is in for a tougher time in Washington.
2018-09-13	The Real Google Censorship Scandal	It’s not about right-wing Americans. It’s about China. 
2018-09-13	Leaked Google Video After Trump’s Win Adds to Pressure From Conservatives	Executives at a company meeting expressed dismay about the election in the footage, which was posted by the right-wing news site Breitbart.
2018-09-12	How Game Apps That Captivate Kids Have Been Collecting Their Data	A lawsuit by New Mexico’s attorney general accuses a popular app maker, as well as online ad businesses run by Google and Twitter, of violating children’s privacy law.
2018-09-12	The Metamorphosis of Silicon Valley C.E.O.s: From Big to Boring	Technology chief executives were once admired for their force-of-nature personalities and daring. Now boring is the new black (or is it beige?). Except for Elon Musk, of course.
2018-09-12	Google Knows Where You’ve Been	" but Does It Know Who You Are?"",How looking at the location data that the company collects about you lets you see yourself in a whole new way."
2018-09-11	Don’t Blame Google	" Mr. Trump"",""The president claims that the search engine is “rigged” with negative news about him, but a reader says it’s simply reflecting the real world. "
2018-09-10	Don’t Force Google to Export Other Countries’ Laws	Applying national rules worldwide would change the internet beyond recognition.
2018-09-09	Role Models Tell Girls That STEM’s for Them in New Campaign	The Ad Council — along with G.E., Google, IBM, Microsoft and Verizon — is trying to encourage girls ages 11 to 15 to get involved in science, technology, engineering and math.
2018-09-06	Trump’s Thumps Don’t Cause Stock Slumps	The president has often taken to Twitter to criticize companies, but investors don’t appear to be taking the attacks too seriously.
2018-09-06	What Jack Dorsey and Sheryl Sandberg Taught Congress and Vice Versa	Wednesday’s hearings in Washington with social media executives did not devolve into ham-handed apologies. Instead, they showed a political system wrestling with issues that have no easy answers.
2018-09-05	Republicans Accuse Twitter of Bias Against Conservatives	Republicans and Democrats sparred over censorship on social media, as the Justice Department said it would examine whether the services were purposely “stifling the free exchange of ideas.”
2018-09-05	Twitter’s Dorsey Avoids Taking Sides in Partisan House Hearing	Mr. Dorsey testified before the House on the moderation of online content. Earlier in the day, he appeared at a Senate hearing with Sheryl Sandberg of Facebook.
2018-09-05	Trump Says Google Is Rigged	" Despite Its Denials. What Do We Know About How It Works?"",Not many people have a good understanding of how Google delivers search results. And for good reason — the company tries to keep it a secret."
2018-09-05	The Politicians Are Coming for Silicon Valley	Some regulations are necessary, but others could hinder innovation and growth in what is arguably the United States’ greatest industry.
2018-09-05	‘Five Eyes’ Nations Quietly Demand Government Access to Encrypted Data	The threat stops short of compelling tech companies to give access to intelligence officials from Australia, Britain, Canada, New Zealand and the United States.
2018-09-04	Facebook and Twitter Have a Message for Lawmakers: We’re Trying	In prepared testimony ahead of congressional hearings on Wednesday, Facebook and Twitter displayed a conciliatory approach over issues such as disinformation and manipulation.
2018-09-04	Alex Jones Said Bans Would Strengthen Him. He Was Wrong.	Bans by Facebook and YouTube drastically reduced the reach of Infowars, Mr. Jones’s right-wing conspiracy site, a review of its traffic shows.
2018-09-04	DealBook Briefing: Big Tech May Need to Swallow Its Political Pride	Silicon Valley firms don’t see eye to eye with the government. Will that slow down technological progress?
2018-09-03	Amazon Sets Its Sights on the $88 Billion Online Ad Market	The online retailer is moving aggressively into digital advertising, emerging as a major competitor to Google and Facebook.
2018-09-03	Silicon Valley Doesn’t Like Trump. It Can Still Work With the Government.	Tech workers are pushing back against federal contracts, particularly with the Pentagon. Here’s why that might be a mistake.
2018-09-03	Tech Giants Now Share Details on Political Ads. What Does That Mean For You?	We tried out new tools from Facebook, Google and Twitter that let you look up campaign ads. Here’s what the databases can — and cannot — do. 
2018-08-31	India Pushes Back Against Tech ‘Colonization’ by Internet Giants	With Facebook, Google and Amazon dominating India’s internet, lawmakers have declared their intention to impose tough new rules on the tech industry.
2018-08-31	The Week in Tech: Claims of Censorship Come Through Loud and Clear	The president, social media users and even employees are accusing tech companies of political bias. How will the companies respond?
2018-08-31	Here’s the Conversation We Really Need to Have About Bias at Google	President Trump’s charges that Google shows anti-conservative search bias is wrong. But Google may well be biased against minorities and others who lack real-world power.
2018-08-30	Trump Whines That Google Isn’t a Safe Space	The right is pressuring tech to be more MAGA-friendly.
2018-08-29	Trump’s Ludicrous Attack on Big Tech	The idea that Google and Twitter are rigging their platforms against him is patently false.
2018-08-28	Trump Accuses Google of Burying Conservative News in Search Results	The president hinted that he would take action against the search giant in his latest attack on a technology company.
2018-08-26	Artificial Intelligence Is Now a Pentagon Priority. Will Silicon Valley Help?	The Defense Department, believing that A.I. research should be a national priority, has called on the White House to “inspire a whole of country effort.”
2018-08-24	Alphabet’s Plans for a China Comeback Go Beyond Google Search	The company’s driverless-car unit, Waymo, has registered a Shanghai subsidiary — the latest sign of the breadth of its interest in the country. Yet hurdles are plentiful.
2018-08-23	Google Deletes 39 YouTube Channels Linked to Iranian Influence Operation	The accounts were linked to the state broadcaster, the company said. The news followed similar moves by Facebook and Twitter.
2018-08-23	Make Several Gmail Addresses Out of One	Thanks to the way Google processes your mail, you can modify part of your address for different situations and still get all your messages.
2018-08-22	Google Tried to Change China. China May End Up Changing Google.	Google once held itself up as proudly nonconformist. A decision to abide by Chinese censors would mark a new era for the company — one of conventionality.
2018-08-17	Alexa vs. Siri vs. Google: Which Can Carry on a Conversation Best?	Digital assistants from Amazon, Apple and Google can only have meager back-and-forth exchanges with us. Listen to how that tells us something about where they’re going in the future.
2018-08-16	Google Employees Protest Secret Work on Censored Search Engine for China	About 1,400 of the internet company’s employees have signed a letter demanding transparency, saying censored search results raise “urgent moral and ethical issues.”
2018-08-14	The Unlikely Activists Who Took On Silicon Valley — and Won	Mining personal data has become a trillion-dollar business — which is why activists are pushing laws to curb the practice, and why Facebook and other companies are desperate to stop them.
2018-08-13	What Chrome Means by ‘Not Secure’	Google’s recent update to the browser warns users when websites aren’t automatically protecting their communication.
2018-08-12	Google-Facebook Dominance Hurts Ad Tech Firms	" Speeding Consolidation"",""The investment of venture capital money into ad tech start-ups is falling sharply, helping push a wave of acquisitions."
2018-08-11	The Flourishing Business of Fake YouTube Views	Plays can be bought for pennies and delivered in bulk, inflating videos’ popularity and making the social media giant vulnerable to manipulation.
2018-08-08	Tech Companies Banned Infowars. Now	" Its App Is Trending."",""Days after Google, Facebook and Apple removed Infowars content, the app from the right-wing conspiracy site has surged in downloads."
2018-08-08	A Robot Walks Into a Bar. But Can It Do Comedy?	Artificial-intelligence researchers are building neural networks that can take part in improv skits. The results are unpredictable.
2018-08-07	Gatekeepers or Censors? How Tech Manages Online Speech	The rules that Apple, Google, Facebook and Twitter follow in their roles as arbiters of online speech are often vague. Critics say they are arbitrary.
2018-08-06	A Generation Grows Up in China Without Google	" Facebook or Twitter"",""Many foreign internet giants are blocked, leaving some young Chinese to wonder what those services even are — and reinforcing Beijing’s ideological control."
2018-08-06	Alex Jones and Infowars Content Is Removed From Apple	" Facebook and YouTube"",""Technology firms move to curb one of the loudest voices in conspiracy theories, fueling further debate over free speech online."
2018-08-02	Apple’s $1 Trillion Milestone Reflects Rise of Powerful Megacompanies	Apple is part of a group of giant companies that dominate the United States economy. That is good for financial markets, but not necessarily for everyone else.
2018-08-02	DealBook Briefing: Google in China Is No Done Deal	There are still large barriers ahead if the company really does plan to launch search and news services in the country.
2018-08-02	As Google Maps Renames Neighborhoods	" Residents Fume"",""Google’s digital maps have become the world’s default atlas and the arbiter of what neighborhoods are called, even when many residents disagree."
2018-08-01	Google	" Seeking a Return to China, Is Said to Be Building a Censored Search Engine"",Google withdrew from China in 2010 to protest the country’s censorship. Now the internet giant is working on a search engine that complies with Chinese censorship rules."
2018-08-01	Stumbles? What Stumbles? Big Tech Is as Strong as Ever	Facebook’s earnings report sent tech stocks cratering. But don’t let that fool you: Apple, Google, Facebook, Amazon and Microsoft are still on their way to dominating the future.
2018-07-26	Why Trump Is Right About the E.U.’s Penalty Against Google	The European Union imposed a $5.1 billion penalty on Google last week. It is hard to find an antitrust expert who endorses the case’s logic or outcome.
2018-07-25	Waymo Teams Up With Walmart	" Avis and Others for Short Driverless Rides"",The autonomous vehicle company spun off from Google is offering people in the Phoenix area rides for running errands."
2018-07-25	Why Your Phone Service Is So Expensive	Also: Georgia Republicans pick a hard-right nominee for governor. 
2018-07-24	How E.U.’s Google Fine Explains High Cellphone Costs in the U.S.	In the past two decades, antitrust enforcement in the United States has been much less strict than in Europe. 
2018-07-24	Google and American Oligopolies	“Part of the reason the European Union has had to act on Google’s situation is the lack of antitrust enforcement in the United States,” a reader says.
2018-07-24	Google Shrugs Off $5.1 Billion Fine With Another Big Quarter	Less than a week after the European Union fined Google $5.1 billion for abusing its dominance in smartphones, the tech giant still posted big profits.
2018-07-22	Tech and Auto Earning Reports	" and an E.U. Official Visits Trump"",""A second-quarter G.D.P. estimate is issued, and there will be a hearing on tariffs on Chinese goods."
2018-07-19	A $5.1 Billion Fine for Google Won’t Fix Tech	European and American officials need to find more effective ways to ensure competition in industries dominated by a handful of big players. 
2018-07-19	Who Gets Left Out of the Urban Tech Boom?	Majority-black cities, like my hometown near Pittsburgh, want to be part of the tech revival. Companies should do more to include them.
2018-07-19	For Android Users	" Europe’s Google Ruling Leaves Unanswered Questions"",The European Union fined Google a record $5.1 billion. But the ruling will probably have little effect on current Android users."
2018-07-19	Trump Bashes E.U. Over $5.1 Billion Fine for Google	President Trump has repeatedly criticized the European Union for what he insists are its unfair trading practices.
2018-07-19	DealBook Briefing: Google’s E.U. Fine Might Not Matter	The European Commission hit Google with a record antitrust fine yesterday, but the future will bring new antitrust fights in tech.
2018-07-18	A Brief History of the Impact of E.U. Antitrust Fines on Tech Stocks	European officials have fined Google a record $5.1 billion. History suggests the company’s share price won’t be affected.
2018-07-18	E.U. Fines Google $5.1 Billion in Android Antitrust Case	European officials hit the internet giant with the record penalty for abusing its power in the smartphone market, the region’s latest move to rein in the clout of tech companies.
2018-07-15	Banks Report Earnings	" and Google Faces Antitrust Fines"",""The Fed chairman will testify before panels in the House and Senate, and the Commerce Department will holding hearings on auto tariffs."
2018-07-13	The Google Translate World Cup	Many expected the tournament to see technological advances related to refereeing. Instead, an app that lets strangers communicate was the biggest winner.
2018-07-13	How to Go Back to the Old Gmail	Google’s overhaul for the web may not be everyone’s cup of tea, but you can return to the previous version for a while longer.
2018-07-11	Google’s Parent Births New Businesses: Balloons and Drones	The lab at Alphabet, Google’s parent company, has graduated two projects — one to build delivery drones and another making internet-beaming balloons — into independent businesses.
2018-07-11	Have the Tech Giants Grown Too Powerful? That’s an Easy One	Tech companies have changed the world by building answers to obvious questions — but now the obvious, pressing questions are about them.
2018-07-09	The Memories Hiding in My Data Dump	Looking through information stored by Facebook and Google was like reading a diary I hadn’t intended to keep. 
2018-07-04	Ready for Vacation? Here’s the Best Tech for Trip Planning	Our personal tech columnist uses a combination of custom maps, spreadsheets and itinerary management apps to promote maximum enjoyment.
2018-07-03	Silicon Valley’s Giants Take Their Talent Hunt to Cambridge	A boom in artificial intelligence research has drawn the tech industry’s biggest companies and their checkbooks to the storied English city.
2018-07-03	DealBook Briefing: Silicon Valley Has Bigger Problems Than Facebook	A new scandal over Google’s data privacy practices is a reminder that all of Big Tech needs greater scrutiny.
2018-07-02	Facebook Isn’t Silicon Valley’s Only Problem	Many of the practices for which it has been criticized are common in the industry.
2018-07-02	How to Measure a Straight Line in Google Maps	In addition to supplying highway mileage, Google can calculate the shortest distance between two locations.
2018-06-29	Time Split to the Nanosecond Is Precisely What Wall Street Wants	Driven by the needs of the financial industry, researchers are working on ways to manage vast computer systems down to 100 billionths of a second.
2018-06-26	Top Tech Companies Met With Intelligence Officials to Discuss Midterms	A meeting in May was meant for a discussion of foreign meddling in this year’s midterm elections. But some tech officials left frustrated.
2018-06-20	Firefox Is Back. It’s Time to Give It a Try.	Mozilla redesigned its browser to take on Google’s Chrome. Firefox now has strong privacy features and is as fast as Chrome.
2018-06-19	Microsoft Employees Protest Work With ICE	" as Tech Industry Mobilizes Over Immigration"",""Microsoft workers objected to the company’s work with immigration authorities, part of a wave of outrage over the Trump administration’s immigration policy."
2018-06-19	Amazon Urged Not to Sell Facial Recognition Technology to Police	Some Amazon shareholders say the technology raises privacy concerns. The company joins other big tech firms coming under increasing scrutiny for their government work.
2018-06-19	IBM Unveils System That ‘Debates’ With Humans	Under development for six years, IBM Debater reflects a push toward machines that talk like humans. But it may have to work on getting to the point.
2018-06-18	Google’s JD.com Deal Shows Silicon Valley Still Wants In on China	The company’s $550 million investment is another sign of how American tech giants still want to do business in China, despite the many hurdles.
2018-06-18	Google’s Diversity Efforts	" Charted"",The technology company is struggling to move the needle when it comes to increasing diversity in the workplace. Here are some charts."
2018-06-18	Google	" Rebuilding Its Presence in China, Invests in Retailer JD.com"",""Its search engine has been blocked in the country for years, but the company is looking for other ways to be part of the flourishing internet scene there."
2018-06-09	Mark Zuckerberg	" Elon Musk and the Feud Over Killer Robots"",""As the tech moguls disagree over the risks presented by something that doesn’t exist yet, all of Silicon Valley is learning about unintended consequences of A.I."
2018-06-07	Google Promises Its A.I. Will Not Be Used for Weapons	Facing an employee rebellion over work with the Pentagon, the internet giant said its “principles” for A.I. technology would also limit some surveillance work.
2018-06-05	Can Facebook Be Cut Down to Size?	Using social media doesn’t have to risk national security. Facebook’s power is the problem.
2018-06-01	Google Will Not Renew Pentagon Contract That Upset Employees	Diane Greene, the head of Google’s Cloud business, is said to have told employees that it was backing away from the A.I. work with the military.
2018-06-01	Let Gmail Finish Your Sentences	Google’s new machine-learning tools for its mail service can save you time and typos — as long as you are comfortable sharing your thoughts with the software.
2018-06-01	A Year After Trump’s Paris Pullout	" U.S. Companies Are Driving a Renewables Boom"",Dozens of Fortune 500 companies are voluntarily investing billions in wind and solar energy."
2018-05-31	Protesters Block Google Buses in San Francisco	" Citing ‘Techsploitation’"",""Who owns the streets and neighborhoods of the high-tech capital? A simmering battle erupts over displacement, evictions and scooters."
2018-05-31	Waymo to Buy Up to 62	"000 Chrysler Minivans for Ride-Hailing Service"",The agreement signals that the Google driverless-technology spinoff plans a rapid start for a business set to get underway later this year."
2018-05-31	SoftBank Fund Puts $2.25 Billion in G.M.’s Driverless Unit	The magnitude of the deal reflects the growing confidence that commercial use of autonomous cars is in sight, despite recent setbacks.
2018-05-30	The Privacy Lawyer Giving Big Tech an $8.8 Billion Headache	With the enactment of new privacy rules in Europe, it isn’t just regulators going after Big Tech: Advocates like Max Schrems are already filing lawsuits.
2018-05-30	How a Pentagon Contract Became an Identity Crisis for Google	A $9 million deal for the use of artificial intelligence technology has fractured the internet giant’s work force and risks driving away top engineering talent.
2018-05-26	As Google Feeds Cats	" Owl Lovers Cry Foul"",""In a Silicon Valley park, burrowing owls are dying and disappearing. Public records and a bit of snooping uncovered a path that led to Google and its feline-loving employees."
2018-05-25	In the Dance Lab With Martha Graham	There were hits and misses, and a spirit of exploration, as the Graham company tried out new technologies during a two-week Google residency.
2018-05-25	Ireland’s Abortion Referendum Becomes a Test for Facebook and Google	Major tech companies took steps to prevent foreign meddling online before voters in Ireland cast ballots on Friday. Here’s how those efforts are working out.
2018-05-21	Finding Your Contacts in the New Gmail	Google’s recent revamp of its mail service has moved a few old features to new places, but you don’t have to look far.
2018-05-20	U.K. vs. U.S.: How Much of Your Personal Data Can You Get?	We decided to test how easy it soon might be for people in Europe to access their personal data compared with users in the United States.
2018-05-18	A.I. Is Harder Than You Think	Sorry, Google: Computers are not even close to humanlike thought.
2018-05-16	Google’s File on Me Was Huge. Here’s Why It Wasn’t as Creepy as My Facebook Data.	Google collects far more information about us than Facebook. But the Google data that our tech columnist downloaded on himself contained fewer surprises and was more easily deleted.
2018-05-16	Is a Dumber Phone a Better Phone?	A new crop of smartphones has arrived, aiming to improve on the iPhone — not by being better but by being substantially worse.
2018-05-13	Silicon Valley Faces Regulatory Fight on Its Home Turf	A ballot measure brought by a real estate developer, a former C.I.A. analyst and a finance executive would create tough data privacy laws.
2018-05-11	Kevin’s Week in Tech: Are Google’s A.I.-Powered Phone Calls Cool	" Creepy, or Both?"",At no point in the demo were the receptionists on the other end of the calls informed that they were talking to a computer rather than another human."
2018-05-10	Alexa and Siri Can Hear This Hidden Command. You Can’t.	Researchers can now send secret audio instructions undetectable to the human ear to Apple’s Siri, Amazon’s Alexa and Google’s Assistant.
2018-05-09	Jumping Into the New Gmail	Google recently overhauled the web version of its email software, and you can try out the new version — even if you haven’t been formally invited yet.
2018-05-08	Google Strikes Humble Tone While Promoting A.I. Technology	At a company conference, executives acknowledged the backlash facing Silicon Valley. Their answer to those concerns? More technology.
2018-05-08	Why A.I. and Cryptocurrency Are Making One Type of Computer Chip Scarce	A microprocessor once found mostly in machines used for computer games turns out to have a role in both artificial intelligence systems and the mining of digital currencies.
2018-05-07	Microsoft Tries a New Role: Moral Leader	Top executives of the company, which was once tech’s biggest villain, are outspoken advocates for protecting user privacy and establishing ethical guidelines for new technology like artificial intelligence.
2018-05-07	When 2 + 2 Might Equal 5	The European Union’s “right to be forgotten” rule amounts to government limits on the publication of truthful speech.
2018-05-06	Nafta Talks Resume	" and Disney Will Face Questions on Its Fox Plans"",""Both Google and Microsoft will hold developers’ conferences, and the Bank of England may hold off on a rate increase as its economy slows."
2018-05-05	Who Strikes Fear Into Silicon Valley? Margrethe Vestager	" Europe’s Antitrust Enforcer"",""Ms. Vestager is the world’s most powerful regulator, having levied billions in fines against firms such as Apple, Google and Facebook."
2018-05-04	Google Will Ask Buyers of U.S. Election Ads to Prove Identities	The company said it would begin to require people or groups purchasing federal election ads to show they are American citizens or lawful residents.
2018-05-02	Why Silicon Valley Must Go to War	Technology for the military cannot be separated cleanly from technology for everything else.
2018-05-01	The Real Villain Behind Our New Gilded Age	It’s not globalization or automation but the lopsided monopoly power that favors corporations.
2018-04-30	Supreme Court to Hear Cases on Death Penalty and Class Actions	Among the newly accepted cases is an appeal from a death row inmate with a rare medical condition he says will cause excruciating pain if he is given a lethal injection.
2018-04-25	YouTube Kids	" Criticized for Content, Introduces New Parental Controls"",""Parents will be able to handpick the channels and topics their children can view on the app, which has been criticized for allowing disturbing content to slip through."
2018-04-24	Think Biking or Walking to Work Would Take Too Long? Think Again	People often overestimate the time required to commute actively.
2018-04-23	Google’s Parent Company Spends Like It’s Thinking of a Future Beyond Ads	With regulatory pressure looming, Google is spending heavily for its cloud business, hardware products and A.I. assistant.
2018-04-23	YouTube Says Computers Are Catching Problem Videos	The video-sharing site said it took down more than eight million videos in the fourth quarter of 2017. The vast majority were flagged by computers.
2018-04-23	How Facebook and Google Could Benefit From the G.D.P.R.	" Europe’s New Privacy Law"",""Facebook and Google are dealing with a privacy backlash and new European rules on data collection. The rules, though, may not be as damaging to the companies as they appear."
